Airport,Latitude,Longitude,2000,2004,2008,2012,2016,2020,2024
JFK,40.6446,-73.7797,17.74,16.78,21.95,24.67,31.31,8.22,34.77
LAX,33.9422,-118.4036,16.71,15.79,16.15,16.84,22.18,6.25,23.44
MIA,25.7923,-80.2823,15.76,13.99,15.67,18.53,19.69,6.57,23.20
SFO ,37.6191,-122.3816,7.61,7.29,8.35,9.15,11.84,3.21,15.08
EWR,40.6885,-74.1769,8.66,8.59,10.92,11.15,11.76,3.69,14.69
ORD,41.9803,-87.909,9.72,9.86,11.02,10.20,11.92,3.48,13.87
ATL,33.6324,-84.4333,5.90,6.63,9.22,9.56,11.19,3.35,13.81
DFW,32.8922,-97.0391,4.46,4.31,4.83,5.81,7.82,3.27,11.84
IAH,29.9931,-95.3416,5.29,6.08,7.58,8.51,10.53,3.49,11.68
IAD,38.9522,-77.4579,3.86,4.50,5.98,6.50,7.12,1.92,10.06
BOS,42.3656,-71.0096,3.49,3.58,3.42,4.03,5.84,1.57,8.49
MCO,28.4244,-81.3105,1.89,1.89,2.51,3.61,5.42,1.53,7.61
FLL,26.0732,-80.1512,1.15,1.50,3.03,3.40,5.64,2.84,6.90
SEA,47.4484,-122.3086,2.20,2.25,2.79,3.04,4.63,1.27,6.06
CLT,35.2163,-80.9539,0.90,1.78,2.29,2.97,2.97,1.07,4.62
